symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
0700.HK,Tencent Holdings Limited,EQUITY,HKD,hongkong,"{'raw': 3123630571520, 'fmt': '3.124T', 'longFmt': '3,123,630,571,520'}",398148547622,tencent
9988.HK,Alibaba Group Holding Limited,EQUITY,HKD,hongkong,"{'raw': 2005774237696, 'fmt': '2.006T', 'longFmt': '2,005,774,237,696'}",255662787680,alibaba
1398.HK,Industrial & Commercial Bank of China Ltd.,EQUITY,HKD,hongkong,"{'raw': 1681685741568, 'fmt': '1.682T', 'longFmt': '1,681,685,741,568'}",214353368694,"industrial,&,commercial"
0939.HK,China Construction Bank Corporation,EQUITY,HKD,hongkong,"{'raw': 1223324598272, 'fmt': '1.223T', 'longFmt': '1,223,324,598,272'}",155929102664,"china,construction,bank"
1288.HK,Agricultural Bank of China Limited,EQUITY,HKD,hongkong,"{'raw': 1123213246464, 'fmt': '1.123T', 'longFmt': '1,123,213,246,464'}",143168570197,"agricultural,bank"
3690.HK,Meituan,EQUITY,HKD,hongkong,"{'raw': 1121430011904, 'fmt': '1.121T', 'longFmt': '1,121,430,011,904'}",142941273072,meituan
0941.HK,China Mobile Limited,EQUITY,HKD,hongkong,"{'raw': 1117274505216, 'fmt': '1.117T', 'longFmt': '1,117,274,505,216'}",142411598094,"china,mobile"
0857.HK,PetroChina Company Limited,EQUITY,HKD,hongkong,"{'raw': 1114195361792, 'fmt': '1.114T', 'longFmt': '1,114,195,361,792'}",142019120029,petrochina
0005.HK,HSBC Holdings plc,EQUITY,HKD,hongkong,"{'raw': 995390914560, 'fmt': '995.391B', 'longFmt': '995,390,914,560'}",126875902215,hsbc
3968.HK,"China Merchants Bank Co., Ltd.",EQUITY,HKD,hongkong,"{'raw': 983228022784, 'fmt': '983.228B', 'longFmt': '983,228,022,784'}",125325578774,"china,merchants"
3988.HK,Bank of China Limited,EQUITY,HKD,hongkong,"{'raw': 969894199296, 'fmt': '969.894B', 'longFmt': '969,894,199,296'}",123626004406,"bank,of,china"
1299.HK,AIA Group Limited,EQUITY,HKD,hongkong,"{'raw': 925543759872, 'fmt': '925.544B', 'longFmt': '925,543,759,872'}",117972946965,"aia,group"
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",EQUITY,HKD,hongkong,"{'raw': 889928613888, 'fmt': '889.929B', 'longFmt': '889,928,613,888'}",113433319656,"ping,an"
1211.HK,BYD Company Limited,EQUITY,HKD,hongkong,"{'raw': 918164144128, 'fmt': '918.164B', 'longFmt': '918,164,144,128'}",117032316112,byd
2628.HK,China Life Insurance Company Limited,EQUITY,HKD,hongkong,"{'raw': 777629401088, 'fmt': '777.629B', 'longFmt': '777,629,401,088'}",99119281087,"china,life"
9618.HK,"JD.com, Inc.",EQUITY,HKD,hongkong,"{'raw': 764632825856, 'fmt': '764.633B', 'longFmt': '764,632,825,856'}",97462693525,jdcom
1088.HK,China Shenhua Energy Company Limited,EQUITY,HKD,hongkong,"{'raw': 701302046720, 'fmt': '701.302B', 'longFmt': '701,302,046,720'}",89390337606,shenhua
0386.HK,China Petroleum & Chemical Corporation,EQUITY,HKD,hongkong,"{'raw': 559778168832, 'fmt': '559.778B', 'longFmt': '559,778,168,832'}",71351224099,"china,petroleum"
9633.HK,"Nongfu Spring Co., Ltd.",EQUITY,HKD,hongkong,"{'raw': 522962239488, 'fmt': '522.962B', 'longFmt': '522,962,239,488'}",66658540869,nongfu
0883.HK,CNOOC Limited,EQUITY,HKD,hongkong,"{'raw': 517343248384, 'fmt': '517.343B', 'longFmt': '517,343,248,384'}",65942325204,cnooc
6288.HK,"Fast Retailing Co., Ltd.",EQUITY,HKD,hongkong,"{'raw': 500510523392, 'fmt': '500.511B', 'longFmt': '500,510,523,392'}",63796768982,"fast,retailing"
9999.HK,"NetEase, Inc.",EQUITY,HKD,hongkong,"{'raw': 467311788032, 'fmt': '467.312B', 'longFmt': '467,311,788,032'}",59565145567,netease
1658.HK,"Postal Savings Bank of China Co., Ltd.",EQUITY,HKD,hongkong,"{'raw': 467025526784, 'fmt': '467.026B', 'longFmt': '467,025,526,784'}",59528657737,"postal,savings"
0388.HK,Hong Kong Exchanges and Clearing Limited,EQUITY,HKD,hongkong,"{'raw': 421710299136, 'fmt': '421.71B', 'longFmt': '421,710,299,136'}",53752625118,"hong,kong,exchanges"
9888.HK,"Baidu, Inc.",EQUITY,HKD,hongkong,"{'raw': 394479894528, 'fmt': '394.48B', 'longFmt': '394,479,894,528'}",50281745384,baidu
0728.HK,China Telecom Corporation Limited,EQUITY,HKD,hongkong,"{'raw': 377608634368, 'fmt': '377.609B', 'longFmt': '377,608,634,368'}",48131277339,"china,telecom"
3328.HK,"Bank of Communications Co., Ltd.",EQUITY,HKD,hongkong,"{'raw': 367912452096, 'fmt': '367.912B', 'longFmt': '367,912,452,096'}",46895369058,"bank,of,communications"
2840.HK,SPDR Gold Shares,EQUITY,HKD,hongkong,"{'raw': 340264517632, 'fmt': '340.265B', 'longFmt': '340,264,517,632'}",43371269553,"spdr,gold"
6030.HK,CITIC Securities Company Limited,EQUITY,HKD,hongkong,"{'raw': 322870378496, 'fmt': '322.87B', 'longFmt': '322,870,378,496'}",41154153580,citic
1024.HK,Kuaishou Technology,EQUITY,HKD,hongkong,"{'raw': 316349120512, 'fmt': '316.349B', 'longFmt': '316,349,120,512'}",40322931918,kuaishou
1876.HK,Budweiser Brewing Company APAC Limited,EQUITY,HKD,hongkong,"{'raw': 300616089600, 'fmt': '300.616B', 'longFmt': '300,616,089,600'}",38317546433,"budweiser,brewing"
2359.HK,"WuXi AppTec Co., Ltd.",EQUITY,HKD,hongkong,"{'raw': 295043858432, 'fmt': '295.044B', 'longFmt': '295,043,858,432'}",37607290948,apptec
2269.HK,WuXi Biologics (Cayman) Inc.,EQUITY,HKD,hongkong,"{'raw': 288530432000, 'fmt': '288.53B', 'longFmt': '288,530,432,000'}",36777067523,"wuxi,biologics"
2388.HK,BOC Hong Kong (Holdings) Limited,EQUITY,HKD,hongkong,"{'raw': 285994221568, 'fmt': '285.994B', 'longFmt': '285,994,221,568'}",36453793538,"boc,hong"
1810.HK,Xiaomi Corporation,EQUITY,HKD,hongkong,"{'raw': 284944990208, 'fmt': '284.945B', 'longFmt': '284,944,990,208'}",36320054950,xiaomi
0945.HK,Manulife Financial Corporation,EQUITY,HKD,hongkong,"{'raw': 275620757504, 'fmt': '275.621B', 'longFmt': '275,620,757,504'}",35131556623,manulife
2333.HK,Great Wall Motor Company Limited,EQUITY,HKD,hongkong,"{'raw': 272128081920, 'fmt': '272.128B', 'longFmt': '272,128,081,920'}",34686368347,"great,wall,motor"
0016.HK,Sun Hung Kai Properties Limited,EQUITY,HKD,hongkong,"{'raw': 269948698624, 'fmt': '269.949B', 'longFmt': '269,948,698,624'}",34408576759,"sun,hung"
2899.HK,Zijin Mining Group Company Limited,EQUITY,HKD,hongkong,"{'raw': 265590063104, 'fmt': '265.59B', 'longFmt': '265,590,063,104'}",33853010292,zijin
2020.HK,ANTA Sports Products Limited,EQUITY,HKD,hongkong,"{'raw': 263085441024, 'fmt': '263.085B', 'longFmt': '263,085,441,024'}",33533762666,"anta,sports"
